person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.cellphone,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.role,vaccination.0.healtcarePersonnel.surname,vaccination.0.type,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.cellphone,vaccination.1.healtcarePersonnel.role,vaccination.1.type,vaccination.0.id,vaccination.1.id,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.cellphone,test.0.healtcarePersonnel.role,test.0.type,test.0.result,test.0.datetime,test.0.id,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.cellphone,test.1.healtcarePersonnel.role,test.1.type,test.1.result,test.1.datetime,test.1.id,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.cellphone,test.2.healtcarePersonnel.role,test.2.type,test.2.result,test.2.datetime,test.2.id,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.cellphone,test.3.healtcarePersonnel.role,test.3.type,test.3.result,test.3.datetime,test.3.id,contact.0.name,contact.0.surname,contact.0.cellphone,contact.1.name,contact.1.surname,contact.1.cellphone
Via Martiri Di Nassiriya,52043,26,Castiglion Fiorentino,1993-07-13,+39350425381,RZZNDR93L13D661X,Andrea,M,Rizzo,2021-06-13 02:00:04,1,+39326757752,BRNMCL49T70D927S,Marcella,doctor,Briano,AstraZeneca,2021-07-11 02:00:04,2,Marco,Alberti,LBRMRC23B02H328F,+39325748633,other,AstraZeneca,8acc8319-de4c-4ba4-a690-8b27b2a841eb,bea0d27a-7c3f-465d-ab7b-fdc653c6bcf7,Giuseppe,Vascotto,VSCGPP30P30D324O,+39379925584,doctor,Antigen,Positive,2021-03-14 05:52:59,8cd641cc-3754-4a9d-ab4f-561808c6e837,Giuseppina,Fabris,FBRGPP90L63H352E,+393843573338,nurse,Antigen,Positive,2021-06-30 20:10:44,074d0997-1cbc-4b0a-b679-5b2c2c0522d2,Teresa,Gallo  Franco,GLLTRS57C50M058N,+393455498760,other,Antigen,Positive,2021-02-26 09:02:30,7230c69a-2f5f-44a7-9ae6-e282d12f5c2c,,,,,,,,,,Rita,Pozzo,+393796124989,Mario,Quinto,+39354868532
Via Renato Fucini,00137,70/72,Roma,1996-04-02,+393254786875,SRRLSN96D02I428U,Alessandro,M,Serra,2021-12-12 07:16:26,1,+393671101836,MNTNMO69T59G786S,Noemi,nurse,Montemurro,Moderna,2022-01-09 07:16:26,2,Asya,Di Cesare,DCSSYA56E43A187X,+393652421707,other,Moderna,05dea9d0-d7b3-49c1-93a3-4aaf1559cc26,508833c7-50e6-4da0-9488-fc806880b6e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria,Marelli,MRLMRA76E64C516H,+393162067420,nurse,Antigen,Positive,2021-12-28 02:46:38,62691615-a69b-414f-8f09-84432f3c0340,Maria Carmela,Rizzo,+393478024905,Mario,Caruso,+393564080336
Via Roma,36077,3,Altavilla Vicentina,1936-11-16,+39332078226,MZZLDN36S56C651I,Loredana Rosa Maddalena,F,Mazzoni,2021-11-05 08:37:01,1,+393110123857,FSCNTL93R66B001Z,Entela,other,Foschi,Pfizer-BioNTech,2021-12-03 08:37:01,2,Genni,Romano,RMNGNN81T41A042X,+39388511848,doctor,Pfizer-BioNTech,58b2ac87-3e04-49be-80da-d3841f56f4ae,809104fb-7393-4522-99a6-e25be7347650,,,,,,,,,,Carla,Caruso,CRSCRL02M56D180E,+39329850890,doctor,Molecular,Positive,2021-09-30 19:22:06,ac8b98ec-3454-4de2-b035-f4824dd1e503,,,,,,,,,,Hafsa,Ferrari,FRRHFS86A63C329R,+39347394995,other,Molecular,Negative,2021-02-22 18:26:31,e4159199-4849-4362-8a97-ba5a4d62b886,Federica,Salvadori,+39385770898,Alessio,Ricci,+393659814390
Via Roma,87055,534,San Giovanni In Fiore,1963-02-26,+393894391692,PGLFNC63B26C581U,Francesco Arnaldo,M,Pugliese,2021-06-29 18:19:29,1,+393546128136,MCCDRA58A22B347Q,Dario,nurse,Macchi,Pfizer-BioNTech,2021-07-27 18:19:29,2,Marco,Greco,GRCMRC55B23D587X,+39371297104,nurse,Pfizer-BioNTech,1a1d032c-fb65-4507-91c8-6d48b746baa0,0c270a09-9d3f-431e-95f7-e8e8d6907117,Redis,Ferrari,FRRRDS39C31E116U,+393576039602,doctor,Antigen,Positive,2021-10-08 09:56:56,b030e60b-d338-4e38-ae52-5559311bdc48,Leonardo,Ferrari,FRRLRD85D17E089N,+393411067955,nurse,Antigen,Negative,2021-07-25 06:44:15,f1c6c473-7f8d-40e1-b5b0-7f68867a3a89,Jennifer,Marini,MRNJNF80R55I741H,+39357068883,other,Molecular,Positive,2021-02-24 20:48:05,619dbb8f-2a52-4f72-bafc-b558aee6c6c5,Iole,Bianco,BNCLIO61P63B024D,+393684484453,doctor,Molecular,Positive,2021-01-25 09:59:24,47ab46eb-5876-477e-906b-eebbe128cadc,Fabrizio,Guidi,+39370907273,Giorgia,Fabbri,+39393468201
Via Industria,25037,9,Pontoglio,1927-09-23,+39381401755,MRBDNL27P63A385V,Daniela,F,Morabito,2021-09-13 20:49:53,1,+393793839341,RZZLMR49C47G624W,Luz Maria,other,Rizzo,Johnson & Johnson,2021-10-11 20:49:53,2,Enzo,Cappelli,CPPNZE85E10G752B,+39394194717,doctor,Johnson & Johnson,0b3c506e-17cf-4022-98a2-83d09fc6a97a,7b05cf22-1e69-4869-bf91-6d3bb44f58a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian,Barbieri,BRBCRS94B10D067V,+393846390053,other,Molecular,Positive,2021-10-23 00:08:47,4e1fe583-2ca4-4bee-839d-d4149627c2cf,Lia,Crippa,+393149878409,Angelica,Fumagalli,+39334219302
Via Ponte Chienti,62015,25,Monte San Giusto,1966-01-02,+39381572062,DLSMNL66A42G079J,Emanuela,F,D'Alessandro,2021-11-18 18:31:35,1,+393754983923,FSTFCN94B21C224J,Felicino,nurse,Festuccia,Pfizer-BioNTech,,,,,,,,,ab17294f-62dc-4359-9189-23c281c4272d,,,,,,,,,,,,,,,,,,,,Teresina,Proietti,PRTTSN84C42F734T,+39363988159,doctor,Antigen,Negative,2021-10-21 03:27:33,b9ed7df1-a167-4f98-9978-47d799fa3934,Beatrice,Bortolin,BRTBRC87A43C790F,+39370418291,nurse,Antigen,Positive,2021-11-14 18:44:49,cae14a3e-7d55-40db-b9bf-ccfeef532b4b,Miriam,Ricci,+393614464740,Valentina,Venezia,+393226224038
Via Pineta,98038,4,Savoca,1999-08-10,+393445945801,FRRLCR99M50C911T,Luigia Carmela,F,Ferrari,,,,,,,,,,,,,,,,,,,Matteo,Lombardi,LMBMTT48C09F631X,+393667445072,doctor,Antigen,Negative,2021-03-09 16:51:32,ebdc1810-c3dd-4928-933e-0e20a88f2ee8,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greta,Favaro,+393969827727,Angela,Fanelli,+39320829674
Via Della Libert,87050,snc,Pietrafitta,1992-03-14,+39382601582,RCCMNL92C54A401F,Emanuela,F,Ricci,2021-08-13 02:34:01,1,+393366222188,BRNLCN78E19B391J,Luciano,nurse,Bruno,Moderna,2021-09-10 02:34:01,2,Giuseppina,Ferrari,FRRGPP63C45B812Y,+39326581406,doctor,Moderna,cf860674-1aa7-4299-917b-451ba9fadd4e,1071e372-8671-4a9b-a1b7-21326c66ae62,,,,,,,,,,,,,,,,,,,Benedetta,Atzeni,TZNBDT48H54E742I,+393797929983,nurse,Molecular,Negative,2021-12-21 21:30:35,9b86115a-d424-43a5-be70-d77d5dac3fe7,,,,,,,,,,Zahra,Rossi,+39382852160,Fatima,Menozzi,+393236933335
Piazza Folegatti,44022,27,Comacchio,1990-06-25,+393843487474,GRCLGB90H25B391E,Leone Gabriele,M,Grieco,2021-01-07 22:45:16,1,+39387123395,TMSNCL92B03B579J,Nicola,doctor,Tomasi,AstraZeneca,2021-02-04 22:45:16,2,Diana,Zagaria,ZGRDNI72T65A285Q,+393896388799,other,AstraZeneca,d67828e0-4577-4611-9850-af82c67fcda0,ef658f29-1d07-4a7f-b032-ef42db044bc1,,,,,,,,,,,,,,,,,,,Enrico,De Santis,DSNNRC62H30F616M,+393121750106,other,Molecular,Positive,2021-10-12 09:02:43,76dc4dee-b2dd-4a99-9c59-a6413477da2c,,,,,,,,,,Alessandro,Cortinovis,+393505330292,Salvatore,Ferrari,+39349456045
Via Martiri Della Libert,41033,10H,Concordia Sulla Secchia,1964-09-15,+39338167287,RSSLCN64P15E523Z,Luciano,M,Russo,2021-01-13 13:17:38,1,+39368825072,PRSPLA34L04G817O,Paolo,nurse,Piras,AstraZeneca,,,,,,,,,81067142-eeaf-4c9a-aee8-03bc32662000,,Irene,Concas,CNCRNI69L55E742O,+39334065094,doctor,Antigen,Positive,2021-04-21 02:52:42,c70d0627-9ef0-4273-b4df-63478f11c064,,,,,,,,,,Maria Melania,Bianchi,BNCMML89E64C852M,+39346335455,other,Molecular,Negative,2021-06-06 09:15:30,7444565d-1829-48c0-8bc9-2b8450b4e0e9,,,,,,,,,,Chiara,Colonna,+393483077497,Antonella,Silvestri,+39344410843
Via Papa Giovanni Xxii,20093,1,Cologno Monzese,1952-05-23,+39360886895,BLDPLG52E23F023N,Piero Luigi,M,Baldini,2021-09-12 23:25:13,1,+39353051858,GLNRRT66S59A769L,Roberta,other,Giuliani,Johnson & Johnson,,,,,,,,,f78504c5-a231-4992-b754-7f64d0579224,,,,,,,,,,,Caterina,Sanna,SNNCRN32A46E004H,+393348856419,doctor,Antigen,Negative,2021-04-04 11:58:23,02caafb4-e2fe-4541-982c-fa5ec623cd1e,,,,,,,,,,Alberto,Gruber,GRBLRT60A09I687Z,+393398170988,other,Molecular,Positive,2021-08-20 17:05:18,5ec60ef2-5c54-4e59-aa35-f5e017b1eb95,Domenico,Telesca,+39383494724,Margherita,Donda,+393373955162
Via Vittorio Emanuele,27025,6,Gambolo',1947-08-08,+39376088035,MZZFNC47M08F276W,Francesco,M,Mazzoleno,,,,,,,,,,,,,,,,,,,Giorgio,Giordano,GRDGRG59T25I648A,+39377839227,other,Molecular,Positive,2021-10-14 17:01:20,1aacc5cc-d680-4c33-8836-c8d64fe614d3,Giuseppa,Di Pietro,DPTGPP68E59I348A,+393319394763,other,Molecular,Negative,2021-12-14 12:14:49,2871edc4-fe56-471c-b151-3033d58c468b,,,,,,,,,,Paolo Eugenio Luigi,Piras,PRSPGN56H15I749T,+393105576365,doctor,Antigen,Negative,2021-03-10 08:22:13,e0052d5a-1db0-4555-b63d-6e8708582a89,Mattia,Rossi,+39344929754,Giuliana,Canu,+393704247224
Via Fiume,17024,2,Finale Ligure,1991-01-11,+39389601366,DPLSLL91A51E052Y,Isabella,F,Di Paolo,2021-02-22 22:26:51,1,+393449664902,MRLGPP80P03G687I,Giuseppe,nurse,Morelli,Pfizer-BioNTech,,,,,,,,,ae9dcfa7-2dee-44ca-8eed-bc50ac9c4a4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sofia,Gazzola,+39363152860,Laura,Piras,+393620069128
Piazza Santa Maddalena,07024,5/b,La Maddalena,2001-01-30,+393375290282,BNVTZN01A70I232G,Tiziana,F,Benvenuti,2021-08-12 13:19:04,1,+393798149794,BNNRLL74T54F156J,Rosella,doctor,Benini,Moderna,2021-09-09 13:19:04,2,Claudio,Russo,RSSCLD59E06F616Z,+393931453535,other,Moderna,d3e4be9e-16bb-4b15-b75a-82d7fa5a8ee7,9281263b-9402-4703-a8b2-5a34572d8a03,,,,,,,,,,,,,,,,,,,Franco Secondo,Sbrana,SBRFNC77P10A864H,+393473217538,nurse,Antigen,Negative,2021-12-23 05:23:54,f47d408d-2fc6-472f-b452-55ef196cfbb6,,,,,,,,,,Vittoria,Brogi,+393368806824,Faustina,Carrieri,+39386230672
Via Oliviers,34070,41,Mossa,1944-01-01,+393898896485,GRNGRZ44A41C595Q,Grazia,F,Grange,2021-12-12 18:43:25,1,+39396037500,SRTMNC29H48D750B,Monica,nurse,Sartori,Johnson & Johnson,,,,,,,,,3a920bde-a8c8-4f18-9654-7f9f3a096b35,,Sabrina,Talarico,TLRSRN47C44I745S,+39389606715,nurse,Antigen,Negative,2021-10-30 00:03:32,541b74be-5ad3-4f4e-8fb3-a79a60096233,,,,,,,,,,Emanuele,Gentile,GNTMNL35E27F280O,+39370226958,nurse,Antigen,Negative,2021-03-21 15:07:06,865da3f0-783b-4d03-bdfb-e39f55906772,,,,,,,,,,Nicolo',Scalise,+39386855827,Klea,Galli,+393401579133
Via Fossatello,16124,12 R,Genova,1923-06-22,+39327187996,CNTGNN23H22G790G,Gianni,M,Conti,2021-08-16 16:00:15,1,+393501760017,GDUMNG95A66D488D,Maria Angela,other,Guidi,Pfizer-BioNTech,2021-09-13 16:00:15,2,Alessia,Bruzzone,BRZLSS75R43M182R,+39324601727,other,Pfizer-BioNTech,1c3e72d0-8d22-4e35-9f98-155fadb98480,275444a8-d9c9-43f5-b5d0-6526517756de,,,,,,,,,,Pier Luigi Maria,Rota,RTOPLG46C16L707O,+393802735724,other,Molecular,Negative,2021-05-31 08:30:50,274e5f2c-7951-4893-b825-2a2a6a0a03ab,Vittorio,Barberis,BRBVTR32S08A600V,+39390844659,other,Antigen,Negative,2021-05-02 12:15:56,d54ef7b6-a825-432c-9600-a29023110242,,,,,,,,,,Giovanni,Ferretti,+39325218044,Wei,Benvenuti,+39325714522
Via Verdi,21036,18,Gemonio,1956-10-11,+39324515271,SNFRSR56R51D514M,Rosaria,F,Sanfilippo,2021-01-02 06:16:09,1,+39347076714,CSTMCR51T63G555T,Maria Cristina,nurse,Costantini,AstraZeneca,2021-01-30 06:16:09,2,Anita,Greppi,GRPNTA76B50B767C,+39369936648,nurse,AstraZeneca,90b752b1-13ae-487a-b84a-af5fa5d17bbf,7333bc5a-83b9-47c3-9614-7b9a6f6fa61c,Alberto Luigi,Sabatini,SBTLRT38E05I841D,+39394621820,other,Antigen,Negative,2021-01-13 17:19:44,cc1bc0b3-feb5-4788-b36f-cad09fd4299d,,,,,,,,,,Elsonida,Romano,RMNLND98S52C557G,+39364194843,nurse,Antigen,Negative,2021-01-14 17:44:43,575fbbdd-01d6-47a0-bd75-3abd49e5d896,,,,,,,,,,Ivana,Landi,+393421293663,Mirko Gianni Giuseppe,Capasso,+39376479200
Via Emilia,187,47,Roma,1980-02-17,+39345369399,SRTLCN80B17B405C,Luciano,M,Sartori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federica,Denti,DNTFRC80T47H357J,+393634802342,other,Antigen,Negative,2021-12-03 06:50:05,6685fadd-fbb6-4bad-b4c9-dc74f5a47fa8,Valentina Angela,Pircher,PRCVNT88S45L687K,+39375869288,nurse,Antigen,Positive,2021-03-07 21:25:17,de33599c-d88f-4172-96d4-a7ad44d9b17c,Graziella,Sanfilippo,+393651064049,Maddalena,Vichi,+39362642717
Via S. Sebastiano,83020,1,Quindici,1951-04-26,+393445411884,BRSLRT51D26L474L,Loreto,M,Bressan,2021-07-12 22:22:43,1,+39355309866,RSSMSM41S12B243P,Massimo,nurse,Rossi,Moderna,,,,,,,,,85622018-3a22-4746-8278-2fe8e223d8cc,,,,,,,,,,,Amanda,Di Pietro,DPTMND89E43L207W,+39320346481,doctor,Molecular,Negative,2021-11-08 03:37:42,010e8ea7-9f64-4e67-8064-323a45a143ea,,,,,,,,,,Francesco,Crepaldi,CRPFNC63R13B582J,+39337820224,other,Molecular,Negative,2021-12-22 05:57:27,e8c2a213-e044-4cc5-bac6-8506cc41e5fe,Durim,Mariani,+39358984714,Gigi,Barbero,+39375346221
Via Provinciale,23811,27,Ballabio,1968-05-09,+393107646425,DCLLDE68E49A443I,Elda,F,De Col,2021-02-02 00:03:07,1,+393710942244,PRSRRT28E17G740O,Rezart,doctor,Piras,Johnson & Johnson,,,,,,,,,5ba6e6ae-04e0-4cdd-97c8-0f99857a44d6,,,,,,,,,,,,,,,,,,,,Kamila Inga,Gallo,GLLKLN29C60B531W,+393332702939,other,Molecular,Negative,2021-11-12 02:19:50,095fd64b-33bf-4938-a1c2-f7e4ff420cb8,Maria Orazia,Maio,MAIMRZ57S58C106Z,+39321121471,nurse,Molecular,Negative,2021-09-03 15:50:07,1bd0d1d1-4a5a-4585-bff5-076b80ecb2f1,Alessandro,Montemurro,+393310491800,Bruna,Merola,+39337830430
Via Emilia Interna,48014,173/A,Castel Bolognese,1999-11-01,+39325834695,FLPGRD99S41L019U,Gerarda,F,Filippi,2021-01-31 01:46:12,1,+393563271756,CRSLCU95S58A340O,Lucia,doctor,Caruso,Moderna,2021-02-28 01:46:12,2,Martino,Bianchi,BNCMTN81L28H204T,+393635043371,other,Moderna,8500adcf-cec5-4e1a-aebb-86b81e4e5619,1717d961-55a9-4bb7-897e-40bddf6068aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,El Kbir,Rossi,RSSLBR55D08L689J,+39330170563,other,Molecular,Positive,2021-09-22 07:45:11,902d4af1-9531-4201-9232-7ba7ee9da2a0,Federico,Rea,+39346967564,Luigi,Lai,+393138901545
Via Nazionale,25074,49,Lavenone,1947-11-24,+39348936370,LNTNDG47S24H328B,Ndiaga,M,Lanteri,2021-09-26 22:16:24,1,+39382245050,DNGSVT58C12F937E,Salvatore,other,De Angelis,Moderna,2021-10-24 22:16:24,2,Guglielmo,Giannini,GNNGLL25E20L763C,+393875942925,doctor,Moderna,c6a64b08-f295-4784-901e-aa58d4eed26c,2c76e0bc-0404-4b84-abad-8b5d4ed8c4d5,,,,,,,,,,Fabiana,Carletti,CRLFBN51M68I071N,+39346966664,doctor,Molecular,Positive,2021-10-01 01:56:37,b177f82c-d44b-46b1-8c7b-56a5a27f3690,,,,,,,,,,,,,,,,,,,Elena,Barbieri,+39390118547,Emma,Perego,+39338170684
Via San Marino,10137,69,Torino,1943-02-27,+39369115226,GRRSRN43B67A399V,Sharon,F,Guerriero,2021-11-01 06:17:23,1,+39390161541,PGLBKN73B62I308Q,Brikena,nurse,Pugliese,Johnson & Johnson,,,,,,,,,f1076f11-1d6a-49b3-a01b-5b72c355b5f4,,,,,,,,,,,Denis,Sanna,SNNDNS59T08B675V,+39384934413,nurse,Antigen,Positive,2021-07-03 22:31:06,d8240d4f-1d53-40f1-b966-c2f0ea4a7522,,,,,,,,,,Lindita,Napolitano,NPLLDT47D41B590X,+393549848059,other,Antigen,Positive,2021-07-25 10:02:54,0099ca8e-35d0-4ab4-8ee0-83ed828bcfa6,Salvatore,Bianchi,+393111314443,Luana,Ricci,+393999114365
P.za Duomo,20121,21,Milano,1979-03-21,+393467156483,RSSMTR79C61C002W,Maria Teresa,F,Russo,,,,,,,,,,,,,,,,,,,Zi Bei,Rossi,RSSZBI87L67C744A,+393621708580,doctor,Antigen,Negative,2021-05-16 15:00:21,107daa09-c117-4394-8d69-d4f9e5c1cc86,,,,,,,,,,,,,,,,,,,Alessia,Casini,CSNLSS48E60G420F,+39334367106,nurse,Antigen,Positive,2021-03-15 23:43:32,c2c783ca-07c1-4b71-8f7f-662a8aa204bc,Maria Teresa,Fumagalli,+39390041814,Khadija,Rampazzo,+39349580975
Via Di Prato,50041,51,Calenzano,1979-12-21,+393536194920,MNTNDR79T21G433T,Andrea,M,Montanari,2021-03-14 05:47:06,1,+39391130843,MZZGLL72A13C553M,Guglielmo Pietro,other,Mazzotti,Moderna,2021-04-11 05:47:06,2,Rosita,Martini,MRTRST68M63L537N,+39336691985,nurse,Moderna,ef254e5d-9b15-4bc6-8db5-b2fc1d8b63dc,ddbfc46a-0a7b-40ad-99a2-241895463534,Sabrina,Lombardi,LMBSRN88L66A080N,+39362648904,nurse,Antigen,Positive,2021-07-06 22:21:20,a63c1f19-874f-4adc-af9c-649c7b0de415,,,,,,,,,,Lorenzo,Palmisani,PLMLNZ92A20C741I,+39342455294,other,Molecular,Positive,2021-06-27 05:54:12,7cc79b1c-f123-4446-8978-cf475cc0753a,Filicia,Pircher,PRCFLC35C51H284J,+393111037068,nurse,Antigen,Positive,2021-02-01 12:12:09,c74daa51-6654-48c1-bfc2-c0e4e76b148f,Marco,Izzo,+393335846907,Eleonora,Sala,+393419077883
Viale Crotone,88100,155,Catanzaro,1999-06-21,+393289738308,DCRNTN99H21E343Y,Antonio,M,Di Carlo,2021-05-25 19:51:17,1,+39375960942,CLNMLV66T58F295I,Milva,doctor,Colangelo,AstraZeneca,,,,,,,,,3e690a61-504e-42e5-b595-a011ea496998,,Edoardo,Moras,MRSDRD53T23F089F,+393378216740,doctor,Antigen,Positive,2021-10-05 16:49:28,6be959d8-5b4e-4edb-8cd1-aa31266e0a62,Paolo Emilio,Palmisani,PLMPML88D04I396C,+39321270745,nurse,Molecular,Negative,2021-08-23 00:45:13,40b3fdff-cb34-467b-b90d-0358af6947c3,Kouyate,Ferrario,FRRKYT93R24L876E,+39365549554,nurse,Antigen,Negative,2021-08-10 23:41:46,0c09af6c-2ec8-4f29-be1f-b69d9b31e78c,,,,,,,,,,Marinella,Bocchi,+39336858933,Enzo,Bortolin,+393215054155
Via Marsala,185,29,Roma,1934-05-18,+393179435103,MNTMRS34E58L944Q,Marisa,F,Montalbano,2021-08-03 13:36:52,1,+39360164950,MRLMCR89A55E039T,Maria Cristina,nurse,Merola,AstraZeneca,2021-08-31 13:36:52,2,Giuseppe,D'Angelo,DNGGPP92D10D592R,+393979855577,other,AstraZeneca,90608769-1118-4334-87db-bde30bceddff,ba00ec27-84dd-432e-acfd-6f3971520600,,,,,,,,,,Lorenza,Lombardi,LMBLNZ43M69F717N,+39338605882,other,Molecular,Positive,2021-02-21 09:16:51,ee542bce-324d-4888-b5ae-ab7fa764726f,,,,,,,,,,,,,,,,,,,Abdelaali,Rossi,+39351804259,Edyta Elzbieta,Bacci,+39355198129
Viale Regina Elena,12045,15,Fossano,1922-05-08,+393586626734,CCCMRA22E48F347A,Maria,F,Cecchini,2021-06-26 10:40:15,1,+39350634209,MNCRFA64L25F055Y,Arif,doctor,Mancini,Moderna,2021-07-24 10:40:15,2,Desire',Briano,BRNDSR23E44L975V,+39362829610,nurse,Moderna,f9bc9748-2c6b-4011-966c-933d1af6418d,961177d9-6e93-4db6-a8fe-05e54e45029a,,,,,,,,,,,,,,,,,,,Fatjan,Govoni,GVNFJN30H21D548E,+39335608602,nurse,Molecular,Negative,2021-09-29 21:10:37,2b234b23-04d6-4a5f-926d-3c4c5226ee22,,,,,,,,,,Yongwu,Bruno,+393875159465,Domenico,Bianchi,+39381990436
Viale E. Corbino,96011,65,Augusta,1988-02-24,+393909415828,MSCMRA88B64D094V,Maria,F,Mosca,2021-04-11 01:16:46,1,+39381107324,FRRNNZ99S60L722Y,Annunziata,other,Ferrari,Johnson & Johnson,2021-05-09 01:16:46,2,Arturo,Foti,FTORTR82D22E873H,+393783080475,nurse,Johnson & Johnson,fb15eb26-ce99-4841-b491-7c4b069419e8,d5b00254-c69a-42a2-bb7a-66216cdfb913,Rita,Greco,GRCRTI50A60D977P,+393124714802,other,Molecular,Positive,2021-03-07 08:22:10,04604d89-0261-4526-88e3-a71bb0375a2d,,,,,,,,,,,,,,,,,,,Pietra,Sabatini,SBTPTR71E68C289F,+393815707954,other,Antigen,Negative,2021-04-30 12:33:10,e0b9c52b-4c8a-4314-baa8-b966bb512fe8,Mads Deth,Mura,+39320806055,Margherita,Mancini,+393508135939
Via Dei Mille,97019,85,Vittoria,1965-02-09,+39349924410,MNCRSF65B49F023A,Aurora Sofia,F,Menconi,2021-12-18 15:17:15,1,+393983989321,RSSNMR25C54I142C,Ioana-maria,nurse,Rossi,Pfizer-BioNTech,,,,,,,,,a8839561-9465-4141-bfb8-9294bbf14d24,,Clarissa,Deiana,DNECRS69C69G153B,+39371390015,nurse,Antigen,Positive,2021-07-19 18:52:09,958b6106-415a-40f9-88f6-b7c09c73561c,,,,,,,,,,Giovanna Maria,Crepaldi,CRPGNN28M66I953B,+39350975349,doctor,Molecular,Positive,2021-03-28 23:34:59,bb63a63a-be4c-4ea1-86e6-51f91f26a394,Rita,Bianchi,BNCRTI55H47H779J,+393718928760,nurse,Molecular,Positive,2021-05-24 03:22:37,aff0aadb-e724-4062-9fe6-8f46d15a33d6,Blerim,Melandri,+39341047268,Simona,Parodi,+393919372799
Via Vittorio Emanuele Iii,86033,85,Montefalcone Nel Sannio,1973-03-25,+393510530363,DGSNLA73C65E892T,Anila,F,D'Agostino,,,,,,,,,,,,,,,,,,,Patrizia,Marchetti,MRCPRZ68C64I758Y,+39395706685,doctor,Molecular,Positive,2021-01-02 20:43:12,f65a4508-b32d-4891-8434-f281ed34aec2,,,,,,,,,,Luigi,Mair,MRALGU74D15B160C,+393991284243,nurse,Antigen,Negative,2021-05-22 06:50:37,bdb3e71e-04d4-494c-978c-16b918c66581,,,,,,,,,,Vincenzo,Vitale,+393636770697,Francesco,Mecca,+393724542766
Piazza Erbe,38068,17,Rovereto,1997-11-29,+39394077004,PVNNSC97S69L497C,Natascia,F,Pavan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea,Pichler,+393816004672,Ferdinando Romano,Bianco,+393908265843
Via Mazzini,09010,41,Santadi,1941-03-30,+393699900672,PLLSRN41C70B760B,Sabrina,F,Pellegrini,2021-12-15 16:12:19,1,+39398555310,FRRCLL91L57I287L,Camilla,other,Ferri,Johnson & Johnson,,,,,,,,,0ad6b4bf-9a93-4132-b310-962335dd0304,,Giuseppe Davide,Vitali,VTLGPP51M12F493V,+39387553046,other,Antigen,Negative,2021-08-17 23:19:32,1e34e69a-1078-44b5-be5b-d7e0da294b4a,,,,,,,,,,Maria Carmela,Barberis,BRBMCR86T50F342N,+393302529397,other,Molecular,Positive,2021-05-14 10:33:32,c8d2e299-b786-4216-b2f6-5a999538407c,,,,,,,,,,Gianluca,Romano,+393589678742,Giorgia,Licata,+393312021796
Piazza Repubblica,22070,8,Beregazzo Con Figliaro,1948-03-25,+393416574736,RSSMRS48C65D003Y,Marisa,F,Rossi,2021-09-05 14:24:00,1,+39325771553,TRVBDD67P10F737R,Bildad Enyinnaya,doctor,Traverso,Johnson & Johnson,,,,,,,,,bbe9a193-d60c-44fe-ba71-bd44aa50e56a,,Sofia,Rossi,RSSSFO94H50F523C,+39339589645,doctor,Molecular,Negative,2021-02-19 17:34:10,af3454e5-0fd6-4434-997d-0111daef080a,,,,,,,,,,,,,,,,,,,Maurizio,Bertini,BRTMRZ26R28A852P,+39357336694,other,Molecular,Negative,2021-06-10 22:23:13,94c913d9-11b2-45c7-85b6-e5ccef91b6eb,Eugenia,Rossi,+39332280436,Dario,Bionaz,+39395039992
